name,year,race,hair,pubichair,dead
Terre Tucker,1963,White,Black,NULL,TRUE
Donna Michelle,1963,White,Blonde,NULL,TRUE
Sharon Rogers,1964,White,Brown,NULL,FALSE
Nancy Jo Hooper,1964,White,Red,NULL,TRUE
Nancy Scott,1964,White,Blonde,NULL,FALSE
Ashlyn Martin,1964,White,Brown,NULL,TRUE
Terri Kimball,1964,White,Brown,NULL,FALSE
Lori Winston,1964,White,Brown,NULL,FALSE
Melba Ogle,1964,White,Blonde,NULL,FALSE
China Lee,1964,Asian,Black,NULL,FALSE
Astrid Schulz,1964,White,Brown,NULL,FALSE
Rosemarie Hillcrest,1964,White,Blonde,NULL,FALSE
Kai Brendlinger,1964,White,Black,NULL,FALSE
Jo Collins,1964,White,Brown,NULL,FALSE
Sally Duberson,1965,White,Brown,NULL,FALSE
Jessica St. George,1965,White,Black,NULL,FALSE
Jennifer Jackson,1965,Black,Black,NULL,TRUE
Sue Williams,1965,White,Blonde,NULL,TRUE
Maria McBane,1965,White,Brown,NULL,FALSE
Hedy Scott,1965,White,Brown,NULL,FALSE
Gay Collier,1965,White,Red,NULL,FALSE
Lannie Balcom,1965,White,Blonde,NULL,TRUE
Patti Reynolds,1965,White,Black,NULL,FALSE
Allison Parks,1965,White,Blonde,NULL,TRUE
Pat Russo,1965,White,Brown,NULL,FALSE
Dinah Willis,1965,White,Blonde,NULL,FALSE
Judy Tyler,1966,White,Red,NULL,TRUE
Melinda Windsor,1966,White,Blonde,NULL,FALSE
Priscilla Wright,1966,White,Blonde,NULL,FALSE
Karla Conway,1966,White,Brown,NULL,FALSE
Dolly Read,1966,White,Brown,NULL,FALSE
Kelly Burke,1966,White,Brown,NULL,FALSE
Tish Howard,1966,White,Brown,NULL,FALSE
Susan Denberg,1966,White,Blonde,NULL,FALSE
Dianne Chandler,1966,White,Brown,NULL,FALSE
Linda Moon,1966,White,Blonde,NULL,FALSE
Lisa Baker,1966,White,Brown,NULL,FALSE
Susan Bernard,1966,White,Brown,NULL,FALSE
Surrey Marshe,1967,White,Blonde,NULL,FALSE
Kim Farber,1967,White,Brown,NULL,FALSE
Fran Gerard,1967,White,Brown,NULL,TRUE
Gwen Wong,1967,Asian,Black,NULL,FALSE
Anne Randall,1967,White,Blonde,NULL,FALSE
Joey Gibson,1967,White,Blonde,NULL,FALSE
Heather Ryan,1967,White,Blonde,NULL,FALSE
DeDe Lind,1967,White,Blonde,NULL,FALSE
Angel Dorian,1967,White,Red,NULL,FALSE
Reagan Wilson,1967,White,Blonde,NULL,FALSE
Kaya Christian,1967,White,Blonde,NULL,FALSE
Lynn Winchell,1967,White,Brown,NULL,FALSE
Connie Kreski,1968,White,Blonde,NULL,TRUE
Nancy Harwood,1968,White,Red,NULL,TRUE
Michelle Hamilton,1968,White,Brown,NULL,FALSE
Gaye Rennie,1968,White,Blonde,NULL,FALSE
Elizabeth Jordan,1968,White,Blonde,NULL,FALSE
Britt Frediksen,1968,White,Blonde,NULL,FALSE
Melodye Prentiss,1968,White,Blonde,NULL,TRUE
Gale Olson,1968,White,Brown,NULL,FALSE
